Latitude Position,Longitude Position ,Datetime
3.0258799,101.6147716,03-09-21 5:50
3.0259899,101.61497,03-09-21 5:49
3.0259899,101.61497,03-09-21 5:49
3.0259899,101.61497,03-09-21 5:49
3.025965,101.6149433,03-09-21 5:49
3.02595,101.6149149,03-09-21 5:48
3.0259716,101.6149183,03-09-21 5:48
3.0259716,101.6149183,03-09-21 5:48
3.0259933,101.6148466,03-09-21 5:43
3.0259933,101.6148466,03-09-21 5:43
3.0259933,101.6148466,03-09-21 5:42
3.0259933,101.6148466,03-09-21 5:42
3.0259933,101.6148466,03-09-21 5:42
3.0259933,101.6148466,03-09-21 5:41
3.0259483,101.614755,03-09-21 5:41
3.0259766,101.6148149,03-09-21 5:40
3.0260433,101.6149749,03-09-21 5:40
3.0260366,101.6149749,03-09-21 5:39
3.0259299,101.61478,03-09-21 5:38
3.0259299,101.61478,03-09-21 5:37
3.0259299,101.61478,03-09-21 5:37
3.02601,101.6151483,03-09-21 5:32
3.02601,101.6151483,03-09-21 5:32
3.02601,101.6151483,03-09-21 5:31
3.02601,101.6151483,03-09-21 5:31
3.02601,101.6151483,03-09-21 5:30
3.02601,101.6151483,03-09-21 5:30
3.0258583,101.6148666,03-09-21 5:30
3.0258583,101.6148666,03-09-21 5:29
3.0259283,101.61483,03-09-21 5:28
3.0259283,101.61483,03-09-21 5:28
3.0259283,101.61483,03-09-21 5:28
3.0259283,101.61483,03-09-21 5:27
3.0259283,101.61483,03-09-21 5:27
3.0259183,101.6148,03-09-21 5:26
3.02595,101.6148466,03-09-21 5:26
3.0259466,101.6149566,03-09-21 5:25
3.0259866,101.615045,03-09-21 5:25
3.0259566,101.614895,03-09-21 5:25
3.025925,101.6148466,03-09-21 5:24
3.0259366,101.6148549,03-09-21 5:24
3.0259583,101.6148516,03-09-21 5:24
3.02594,101.6148683,03-09-21 5:23
3.0259716,101.6148933,03-09-21 5:23
3.0259566,101.6148983,03-09-21 5:23
3.0259749,101.6147666,03-09-21 5:22
3.0259749,101.6147666,03-09-21 5:22
3.0259749,101.6147666,03-09-21 5:21
3.0259749,101.6147666,03-09-21 5:21
3.0259749,101.6147666,03-09-21 5:20
3.0259749,101.6147666,03-09-21 5:19
3.0259749,101.6147666,03-09-21 5:18
3.0259749,101.6147666,03-09-21 5:18
3.0259749,101.6147666,03-09-21 5:18
3.0259749,101.6147666,03-09-21 5:17
3.0259833,101.6149033,03-09-21 5:17
3.0259833,101.6149033,03-09-21 5:16
3.0259833,101.6149033,03-09-21 5:16
3.0260016,101.6149183,03-09-21 5:14
3.0259983,101.614965,03-09-21 5:14
